sample_id,firmware_version,archive_name,archive_size_bytes,archive_sha256,payload_name,payload_size_bytes,payload_sha256,afl_file,afl_size_bytes,afl_sha256,function_count,architecture,rtos,raw_payload_retained_in_v10,local_analysis_basis,evidence_label
SCHNEIDER-BMXP341000-SV340,SV340,BMXP341000_SV340.ldx,3338636,e9fd1d4d91f9404e8e0372165c044066d9ea836b48854b3995ba54e58797deb6,vxWorks_bmx1000.bin,4268032,185c6b6e9d71cc771466c1fe43ea2efe2c653af2701569ae21525f38ba4df533,02_inventory/vxworks_arm_analysis_raw_v2_14/sv340_afl_full.txt,278388,8d3fa6cacadd9e7e26d10fd5d337109702697313760d8e32eb5e7739f43b45da,7733,ARM 32-bit little-endian,VxWorks 6.4,NO,human-authorized legally acquired local corpus; redistribution not asserted,DERIVED_EVIDENCE
SCHNEIDER-BMXP341000-SV370,SV370,BMXP341000_SV370.ldx,3368934,ec9b3bb94008bda24226cf6e5c673e3bdae147ced2d853664c2d2d521866a1b6,vxWorks_bmx1000.bin,4319232,53d2d8e82e0c0d17321debaefbde4faf7b5a08cbf24af4823c63c16bc9a14db9,02_inventory/vxworks_arm_analysis_raw_v2_14/sv370_afl_full.txt,285120,7001d71c36682f961bfc7d85979a59b7f205575b29778beaae24fe2ca9d30976,7920,ARM 32-bit little-endian,VxWorks 6.4,NO,human-authorized legally acquired local corpus; redistribution not asserted,DERIVED_EVIDENCE
