task,schema,n,tp,fp,fn,tn,precision,recall,specificity,accuracy,balanced_accuracy,macro_f1,distinct_signatures,unseen_signature_rows,ambiguous_rows_full_corpus,ambiguous_row_fraction,interpretation_boundary,evidence_label
TOOL_OUTPUT_AVAILABILITY,S2_OBSERVABILITY_UNCERTAINTY,2353,1873,0,0,480,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,0,0,0.000000,"Transparent fold-wise signature decoder; tests information retention only, not analyst utility or semantic recovery.",DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S3_EMPIRICAL_CHANNELS,2353,1873,0,0,480,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,0,0,0.000000,"Transparent fold-wise signature decoder; tests information retention only, not analyst utility or semantic recovery.",DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S6_TYPED_SLOTS,2353,1873,0,0,480,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,0,0,0.000000,"Transparent fold-wise signature decoder; tests information retention only, not analyst utility or semantic recovery.",DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S2_OBSERVABILITY_UNCERTAINTY,1873,1088,785,0,0,0.580886,1.000000,0.000000,0.580886,0.500000,0.367443,1,0,1873,1.000000,"Transparent fold-wise signature decoder; tests information retention only, not analyst utility or semantic recovery.",DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S3_EMPIRICAL_CHANNELS,1873,451,24,637,761,0.949474,0.414522,0.969427,0.647090,0.691974,0.637151,2,0,1873,1.000000,"Transparent fold-wise signature decoder; tests information retention only, not analyst utility or semantic recovery.",DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S6_TYPED_SLOTS,1873,451,24,637,761,0.949474,0.414522,0.969427,0.647090,0.691974,0.637151,2,0,1873,1.000000,"Transparent fold-wise signature decoder; tests information retention only, not analyst utility or semantic recovery.",DERIVED_EVIDENCE
