target,representation,fold_id,train_sample_count,test_sample_count,train_label_count,test_label_count,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,model,evidence_label,notes
func_label,core_symbol_text,fold_0,2089,264,22,22,0.12121212121212122,0.31426291214027063,0.12121212121212122,0.11749205562708237,"TFIDF(symbol text)+LogisticRegression(liblinear,balanced)",DERIVED_EVIDENCE,V2 prototype metrics from existing sample features; not full PLC-BinX reproduction.
func_label,runtime_symbol_text,fold_0,2089,264,22,22,0.045454545454545456,0.006227335924963859,0.045454545454545456,0.010320855614973262,"TFIDF(symbol text)+LogisticRegression(liblinear,balanced)",DERIVED_EVIDENCE,V2 prototype metrics from existing sample features; not full PLC-BinX reproduction.
func_label,core_runtime_symbol_text,fold_0,2089,264,22,22,0.12121212121212122,0.24046669352697886,0.12121212121212122,0.10666448459944732,"TFIDF(symbol text)+LogisticRegression(liblinear,balanced)",DERIVED_EVIDENCE,V2 prototype metrics from existing sample features; not full PLC-BinX reproduction.
toolchain,core_symbol_text,fold_0,2089,264,4,4,0.7348484848484849,0.6004054630815194,0.7348484848484849,0.645638629283489,"TFIDF(symbol text)+LogisticRegression(liblinear,balanced)",DERIVED_EVIDENCE,V2 prototype metrics from existing sample features; not full PLC-BinX reproduction.
toolchain,runtime_symbol_text,fold_0,2089,264,4,4,1.0,1.0,1.0,1.0,"TFIDF(symbol text)+LogisticRegression(liblinear,balanced)",DERIVED_EVIDENCE,V2 prototype metrics from existing sample features; not full PLC-BinX reproduction.
toolchain,core_runtime_symbol_text,fold_0,2089,264,4,4,1.0,1.0,1.0,1.0,"TFIDF(symbol text)+LogisticRegression(liblinear,balanced)",DERIVED_EVIDENCE,V2 prototype metrics from existing sample features; not full PLC-BinX reproduction.
